Skinfold	Bodyfat
44.5	8.47
41.8	7.68
33.7	6.16
50.9	8.56
40.5	6.86
51.2	9.4
54.4	9.17
52.3	8.54
57	9.2
65.3	11.72
52	8.44
42.7	7.19
35.2	6.46
49.2	9
61.8	12.61
46.5	9.03
34.8	6.96
60.2	10.05
48.1	9.56
44.5	9.36
54	10.81
44.7	8.61
64.9	9.53
43.8	7.42
58.3	9.79
52.8	8.97
43.1	7.49
78	11.95
40.8	7.35
41.5	7.16
50.9	8.77
49.6	9.56
88.9	14.53
48.3	8.51
61.8	10.64
43	7.06
61.1	8.87
43.8	7.88
54.2	9.2
41.8	7.19
34.1	6.06
30.5	5.63
34	6.59
46.7	9.5
71.1	13.97
65.9	11.66
34.3	6.43
34.6	6.99
31.8	6
34.5	6.56
31	6.03
32.6	6.33
31.5	6.82
32.6	6.2
31	5.93
28	5.8
33.7	6.56
30.3	6.76
38	7.22
55.7	8.51
37.5	7.72
112.5	19.94
82.7	13.91
29.7	6.1
38.9	7.52
44.8	9.56
30.9	6.06
44	7.35
37.5	6
37.6	6.92
31.7	6.33
36.6	5.9
48	8.84
41.9	8.94
30.9	6.53
52.8	9.4
43.2	8.18
113.5	17.41
96.9	18.08
49.3	9.86
42.3	7.29
96.3	18.72
56.5	10.12
105.7	19.17
100.7	17.24
56.8	9.89
75.9	13.06
52.8	8.84
47.8	8.87
76	14.69
61.2	8.64
75.6	14.98
43.3	7.82
49.5	8.97
70	11.63
75.7	13.49
57.7	10.25
67.2	11.79
56.5	10.05
47.6	8.51
60.4	11.5
34.9	6.26
