group, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, mae, gsize, sex 
A , 14 , -6 , 5  , 19 , 0 , -5 , -9 , -1 , -7 , -7  , 7.3 , 3,F 
B , 8 , 0 , 5 , 0 , 5 , -1 , -8 , -1 , -8 , 0 , 3.6, 4 ,F 
C , 6 , -5 , 6 , 3 , 1 , -8 , -18 , 1 , -9 , -6 , 6.3 , 4 ,M 
D , 10 , -7 , 3 , 3 , 2 , -2 , -13 , 6 , -7 , -7 , 6.0 , 2 ,X  
E , 11 , -3 , 4 , 2 , -1 , 0 , -17 , 0 , -14 , 3 , 5.5 , 2 ,F 
F , 13 , -3 , 3 , 5 , -2 , -8 , -9 , -1 , -7 , 0 , 5.1 , 3 ,F 
G , 9 , -4 , 3 , 0 , 4 , -13 , -15 , 6 , -7 , 5 , 6.6 , 4 ,M 
H , 11 , 0 , 2 , 8 , 3 , 3 , -15 , 1 , -7 , 0 , 5.0 , 4 ,M 
I , 6 , -2 , 2 , 8 , 3 , -8 , -7 , -1 , 1 , -2 , 4.0 , 4 ,F 
J , 11 , 2 , 3 , 11 , 1 , -8 , -14 , -2 , -1 , 0 , 5.3 , 4 ,F  

