group	gsize	sex	persons	trueage	error	abserror
A 	3	F	P1	29	14	14
B 	4	F	P1	29	8	8
C 	4	M	P1	29	6	6
D 	2	1X	P1	29	10	10
E 	2	F	P1	29	11	11
F 	3	F	P1	29	13	13
G 	4	M	P1	29	9	9
H 	4	M	P1	29	11	11
I 	4	F	P1	29	6	6
J 	4	F	P1	29	11	11
A 	3	F	P2	30	-6	6
B 	4	F	P2	30	0	0
C 	4	M	P2	30	-5	5
D 	2	1X	P2	30	-7	7
E 	2	F	P2	30	-3	3
F 	3	F	P2	30	-3	3
G 	4	M	P2	30	-4	4
H 	4	M	P2	30	0	0
I 	4	F	P2	30	-2	2
J 	4	F	P2	30	2	2
A 	3	F	P3	14	5	5
B 	4	F	P3	14	5	5
C 	4	M	P3	14	6	6
D 	2	1X	P3	14	3	3
E 	2	F	P3	14	4	4
F 	3	F	P3	14	3	3
G 	4	M	P3	14	3	3
H 	4	M	P3	14	2	2
I 	4	F	P3	14	2	2
J 	4	F	P3	14	3	3
A 	3	F	P4	42	19	19
B 	4	F	P4	42	0	0
C 	4	M	P4	42	3	3
D 	2	1X	P4	42	3	3
E 	2	F	P4	42	2	2
F 	3	F	P4	42	5	5
G 	4	M	P4	42	0	0
H 	4	M	P4	42	8	8
I 	4	F	P4	42	8	8
J 	4	F	P4	42	11	11
A 	3	F	P5	37	0	0
B 	4	F	P5	37	5	5
C 	4	M	P5	37	1	1
D 	2	1X	P5	37	2	2
E 	2	F	P5	37	-1	1
F 	3	F	P5	37	-2	2
G 	4	M	P5	37	4	4
H 	4	M	P5	37	3	3
I 	4	F	P5	37	3	3
J 	4	F	P5	37	1	1
A 	3	F	P6	57	-5	5
B 	4	F	P6	57	-1	1
C 	4	M	P6	57	-8	8
D 	2	1X	P6	57	-2	2
E 	2	F	P6	57	0	0
F 	3	F	P6	57	-8	8
G 	4	M	P6	57	-13	13
H 	4	M	P6	57	3	3
I 	4	F	P6	57	-8	8
J 	4	F	P6	57	-8	8
A 	3	F	P7	73	-9	9
B 	4	F	P7	73	-8	8
C 	4	M	P7	73	-18	18
D 	2	1X	P7	73	-13	13
E 	2	F	P7	73	-17	17
F 	3	F	P7	73	-9	9
G 	4	M	P7	73	-15	15
H 	4	M	P7	73	-15	15
I 	4	F	P7	73	-7	7
J 	4	F	P7	73	-14	14
A 	3	F	P8	24	-1	1
B 	4	F	P8	24	-1	1
C 	4	M	P8	24	1	1
D 	2	1X	P8	24	6	6
E 	2	F	P8	24	0	0
F 	3	F	P8	24	-1	1
G 	4	M	P8	24	6	6
H 	4	M	P8	24	1	1
I 	4	F	P8	24	-1	1
J 	4	F	P8	24	-2	2
A 	3	F	P9	82	-7	7
B 	4	F	P9	82	-8	8
C 	4	M	P9	82	-9	9
D 	2	1X	P9	82	-7	7
E 	2	F	P9	82	-14	14
F 	3	F	P9	82	-7	7
G 	4	M	P9	82	-7	7
H 	4	M	P9	82	-7	7
I 	4	F	P9	82	1	1
J 	4	F	P9	82	-1	1
A 	3	F	P10	45	-7	7
B 	4	F	P10	45	0	0
C 	4	M	P10	45	-6	6
D 	2	1X	P10	45	-7	7
E 	2	F	P10	45	3	3
F 	3	F	P10	45	0	0
G 	4	M	P10	45	5	5
H 	4	M	P10	45	0	0
I 	4	F	P10	45	-2	2
J 	4	F	P10	45	0	0
