student initial final
1 77.564232 76.203456
2 49.89512 50.348712
3 60.781328 61.688512
4 52.16308 53.977448
5 68.0388 70.30676
6 47.173568 48.080752
7 64.410064 67.131616
8 54.43104 56.245408
9 65.317248 67.131616
10 70.760352 69.853168
11 51.709488 51.709488
12 54.884632 55.791816
13 55.338224 57.152592
14 54.43104 52.16308
15 52.16308 53.523856
16 49.89512 51.255896
17 64.410064 66.224432
18 57.606184 57.606184
19 46.266384 47.62716
20 56.699 56.699
21 71.213944 71.667536
22 53.977448 57.152592
23 51.255896 51.709488
24 54.43104 58.059776
25 61.23492 63.049288
26 67.131616 68.0388
27 49.89512 50.802304
28 72.57472 73.935496
29 99.79024 101.604608
30 59.874144 60.327736
31 65.77084 66.678024
32 63.956472 63.956472
33 71.667536 72.57472
34 61.23492 60.781328
35 67.131616 68.0388
36 74.389088 74.84268
37 62.142104 62.595696
38 89.811216 91.171992
39 55.338224 56.245408
40 66.224432 66.224432
41 68.0388 68.492392
42 84.821704 87.089664
43 42.637648 43.544832
44 47.62716 47.62716
45 57.606184 58.96696
46 64.410064 65.317248
47 63.50288 64.863656
48 48.534344 48.534344
49 47.173568 47.62716
50 50.348712 50.802304
51 72.57472 73.481904
52 60.781328 60.781328
53 68.492392 68.492392
54 57.606184 58.96696
55 48.080752 48.987936
56 83.91452 85.275296
57 56.699 58.059776
58 56.699 57.152592
59 70.30676 71.667536
60 53.523856 54.43104
61 67.585208 68.0388
62 67.585208 67.585208
63 55.338224 54.884632
64 70.30676 71.667536
65 72.57472 73.028312
66 52.16308 53.977448
67 75.749864 77.11064
68 59.420552 59.420552
