Body_Weight Length Location
3.5 89 1
3.3 91.5 1
3.5 95.5 1
3.1 92 1
2.8 85.5 1
3 90.5 1
3.5 89.5 1
3.6 91 1
3 91.5 1
2.9 89.5 1
3.3 89.5 1
3.3 92 1
3.2 89.5 1
3 91.5 1
3.1 85.5 1
2.9 86 1
3.9 89.5 1
2.8 90 1
3.2 90.5 1
3.3 89 1
4.1 96.5 1
3.5 91 1
3.1 89 1
2.9 84 1
3.3 91.5 1
3.4 90 1
2.4 85 1
2.8 87 1
2.5 88 1
2.6 84 1
2.7 93 1
3.3 94 1
2.6 89 1
2.4 85.5 2
3 85 2
3 88 2
2.8 82.5 2
2.5 80.5 2
2.4 75 2
2.5 84.5 2
3.3 83 2
2.4 81 2
1.8 76 2
2.4 81 2
3.2 84 2
2.8 89 3
3.2 85 3
3 85 3
3.2 88 3
3.2 85 3
3.3 93.5 3
3.1 91 3
3.6 91.5 4
3.1 93.7 4
3.7 93 4
3.4 91 4
4.2 96 4
2.8 88 4
3.1 86 5
2.9 90.5 5
2.6 88.5 5
3 89.5 5
3.2 88.5 5
2.8 86 5
2.6 85 5
2.8 88.5 5
2.9 88 5
2.7 87 5
3.1 90 5
2 80.5 5
2.1 82 5
2.5 83 6
2.8 89 6
2.8 89 6
2.8 84 6
1.9 81 6
1.8 81 6
2.1 84 6
2.9 85.5 6
2.3 82 6
2.4 81.5 6
2.3 80.5 6
2.5 92 6
2.7 86.5 6
3.4 93 7
2.8 87.5 7
2.6 84.5 7
2.7 85 7
2.7 89 7
2.4 82 7
2.9 84 7
2.8 88.5 7
2.5 83 7
2.7 86 7
2.6 84 7
2.8 86.5 7
2.2 81.5 7
2.3 82.5 7
2.5 89 7
2.5 82.5 7
3.2 89 7
